,0,1
67,1666,http://www.indy.gov/eGov/channel16/Franchise/Minutes/Pages/April%202006%20CFB%20Minutes.aspx
68,1666,http://www.indy.gov/eGov/channel16/Franchise/Minutes/Pages/May%202006%20CFB%20Meeting%20Minutes.aspx
69,1666,http://www.indy.gov/eGov/channel16/Franchise/Minutes/Pages/Minutes%206-06.aspx
70,1666,http://www.indy.gov/eGov/channel16/Franchise/Minutes/Pages/July%202006%20CFB%20Minutes.aspx
71,1666,http://www.indy.gov/eGov/channel16/Franchise/Minutes/Pages/8-2006%20CFB%20Minutes.aspx
72,1666,http://www.indy.gov/eGov/channel16/Franchise/Minutes/Pages/9-06%20CFB%20Minutes.aspx
73,1666,http://www.indy.gov/eGov/channel16/Franchise/Minutes/Pages/10-06%20CFB%20Minutes.aspx
74,1666,http://www.indy.gov/eGov/channel16/Franchise/Minutes/Pages/11-06%20CFB%20Minutes.aspx
75,1666,http://www.indy.gov/eGov/channel16/Franchise/Minutes/Pages/1206%20CFB%20Minutes.aspx
76,1666,http://www.indy.gov/eGov/channel16/Franchise/Minutes/2005/Pages/january.aspx
77,1666,http://www.indy.gov/eGov/channel16/Franchise/Minutes/2005/Pages/february.aspx
78,1666,http://www.indy.gov/eGov/channel16/Franchise/Minutes/2005/Pages/march.aspx
79,1666,http://www.indy.gov/eGov/channel16/Franchise/Minutes/2005/Pages/april.aspx
80,1666,http://www.indy.gov/eGov/channel16/Franchise/Minutes/2005/Pages/may.aspx
81,1666,http://www.indy.gov/eGov/channel16/Franchise/Minutes/2005/Pages/june.aspx
82,1666,http://www.indy.gov/eGov/channel16/Franchise/Minutes/2005/Pages/july.aspx
83,1666,http://www.indy.gov/eGov/channel16/Franchise/Minutes/2005/Pages/august.aspx
84,1666,http://www.indy.gov/eGov/channel16/Franchise/Minutes/2005/Pages/september.aspx
85,1666,http://www.indy.gov/eGov/channel16/Franchise/Minutes/2005/Pages/october.aspx
86,1666,http://www.indy.gov/eGov/channel16/Franchise/Minutes/2005/Pages/november.aspx
87,1666,http://www.indy.gov/eGov/channel16/Franchise/Minutes/2005/Pages/december.aspx
